Name,Organisation,Valid From
Adrian Pratt,NHS Arden & GEM CSU,01/04/2025
Anya Ferguson,The Strategy Unit,01/04/2025
Caileigh Solomenca,The Strategy Unit,01/04/2025
Chris Beeley,The Strategy Unit,01/04/2025
Claire Welsh, The Strategy Unit, 01/04/2025
Ellen Coughlan,The Health Foundation,01/04/2025
Lyn Howard,NHS England,01/04/2025
Pablo Leon-Rodenas,NHS England,01/04/2025
Paul Johnson,"NHS South, Central and West",01/04/2025
Stuart Howard,Blackpool Teaching Hospitals NHS Foundation Trust,01/04/2025
Zoë Turner,The Strategy Unit and Nottinghamshire Healthcare NHS Foundation Trust ,01/04/2025
Bianca O’Mahoney,The Strategy Unit,01/01/2024
Natasha Stephenson,The Strategy Unit,01/04/2024
Simon Wellesley-Miller,NHS England,01/04/2025
Anastasiia Zharinova,NHS England,01/04/2025
Chris Mainey,NHS Birmingham and Solihull,01/04/2025
Joe Wilson,NHS England,01/04/2025
Sam Hollings,NHS England,01/04/2025
Tom Smith,Nottingham University Hospitals NHS Trust,14/07/2025
